0299    17-04-2017 21:55:53    Alarm Stop            Motion Detect, Channel 4
0300    17-04-2017 21:55:58    Alarm Start           Motion Detect, Channel 4
0301    17-04-2017 21:55:58    Alarm Stop            Motion Detect, Channel 4
0302    17-04-2017 21:56:03    Alarm Start           Motion Detect, Channel 4
0303    17-04-2017 21:56:04    Alarm Stop            Motion Detect, Channel 4
0304    17-04-2017 21:56:22    Alarm Start           Motion Detect, Channel 4
0305    17-04-2017 21:56:22    Alarm Stop            Motion Detect, Channel 4
0306    17-04-2017 21:56:52    Alarm Start           Motion Detect, Channel 4
0307    17-04-2017 21:56:52    Alarm Stop            Motion Detect, Channel 4
0308    17-04-2017 21:57:33    Alarm Start           Motion Detect, Channel 4
0309    17-04-2017 21:57:33    Alarm Stop            Motion Detect, Channel 4
0310    17-04-2017 21:57:40    Alarm Start           Motion Detect, Channel 4
0311    17-04-2017 21:57:40    Alarm Stop            Motion Detect, Channel 4
0312    17-04-2017 21:57:49    Alarm Start           Motion Detect, Channel 4
0313    17-04-2017 21:57:49    Alarm Stop            Motion Detect, Channel 4
0314    17-04-2017 21:58:07    Alarm Start           Motion Detect, Channel 4
0315    17-04-2017 21:58:08    Alarm Stop            Motion Detect, Channel 4
0316    17-04-2017 21:58:15    Alarm Start           Motion Detect, Channel 4
0317    17-04-2017 21:58:15    Alarm Stop            Motion Detect, Channel 4
0318    17-04-2017 21:58:32    Alarm Start           Motion Detect, Channel 4
0319    17-04-2017 21:58:32    Alarm Stop            Motion Detect, Channel 4
0320    17-04-2017 21:58:43    Alarm Start           Motion Detect, Channel 4
0321    17-04-2017 21:58:43    Alarm Stop            Motion Detect, Channel 4
0322    17-04-2017 21:59:09    Alarm Start           Motion Detect, Channel 4
0323    17-04-2017 21:59:09    Alarm Stop            Motion Detect, Channel 4
0324    17-04-2017 21:59:11    Alarm Start           Motion Detect, Channel 4
0325    17-04-2017 21:59:12    Alarm Stop            Motion Detect, Channel 4
0326    17-04-2017 21:59:15    Alarm Start           Motion Detect, Channel 4
0327    17-04-2017 21:59:15    Alarm Stop            Motion Detect, Channel 4
0328    17-04-2017 21:59:19    Alarm Start           Motion Detect, Channel 4
0329    17-04-2017 21:59:19    Alarm Stop            Motion Detect, Channel 4
0330    17-04-2017 21:59:24    Alarm Start           Motion Detect, Channel 4
0331    17-04-2017 21:59:25    Alarm Stop            Motion Detect, Channel 4
